% Model:              3channel3D.mph
% Version:            COMSOL 5.3.0.316
% Date:               Mar 1 2023, 16:37
% Dimension:          3
% Nodes:              2069
% Expressions:        4
% Description:        Velocity field, x component, Velocity field, y component, Velocity field, z component, Pressure
% Length unit:        m
% X                       Y                        Z                        u (m/s) @ t=10           v (m/s) @ t=10           w (m/s) @ t=10           p (Pa) @ t=10
0.80917                   0.447655                 0.0253447                -0.12773560134973205     0.05970946683123616      -0.05448065290396859     16.685680670104436
0.825813                  0.502123                 0.0389849                -0.1617185686342786      -0.03372952656118173     -0.06726514718772088     16.673718836209147
0.81884                   0.465846                 0                        0                        0                        0                        16.600265121120387
0.808794                  0                        0.113076                 0                        0                        0                        16.874360638040027
0.504013                  0                        0.224234                 0                        0                        0                        16.834497541961884
0.616402                  0                        0.211218                 0                        0                        0                        16.835001840158785
0.712149                  0                        0.200411                 0                        0                        0                        16.851533193893246
0.316625                  0.304896                 0                        0                        0                        0                        16.834701331439476
0.260188                  0.273935                 0.101765                 -0.013425262997593255    0.007049348939185982     0.0027844372139102192    16.835281106142904
0.138161                  0.309516                 0.0798546                -0.004377989133824776    0.004277783652424146     0.0017437679483300824    16.83526073919328
0.207968                  0.377156                 0                        0                        0                        0                        16.833637429549086
0.117755                  0.390174                 0.0882413                -0.0025339124498118372   0.003626970034668672     0.002726011378819423     16.834742272934854
0.176036                  0.310239                 0.159709                 -0.012525707670677424    0.00913884616064467      0.006635938153985797     16.835634747970424
0.0663181                 0.411964                 0.229976                 -0.002005271785254788    0.002899407864951898     0.012968253994554105     16.83491640333979
0.0663181                 0.416406                 0.144502                 -4.7112273025211424E-4   0.0027646125570079654    0.00493872289567439      16.834983497355935
0.0760802                 0.491568                 0.0932959                -2.5761913739395602E-5   -4.008668284769642E-4    0.00274563010746308      16.834745407443
0.103761                  0.432437                 0                        0                        0                        0                        16.833651135112305
0.132636                  0.392253                 0.190654                 -0.006502347310250137    0.008939445156106634     0.015369201802269904     16.833956078890704
0.58443                   0.430165                 0                        0                        0                        0                        16.8287913805217
0.443321                  0.301754                 0                        0                        0                        0                        16.835480133843358
0.586707                  0.38267                  0                        0                        0                        0                        16.830053607037264
