2742 7
0 440
5436 4848 5332 
5286 5826 5325 
5826 5286 5436 
5299 5326 5831 
5313 5299 5839 
5299 5831 5839 
5311 5315 5845 
5315 5846 5845 
5315 5313 5846 
5313 5839 5846 
5344 5848 5352 
5326 5856 5831 
5326 5325 5856 
5826 5856 5325 
5331 5350 5859 
5859 5332 5331 
5860 5332 5859 
5860 5436 5332 
5861 5436 5860 
5436 5861 5826 
5350 5864 5859 
5415 5879 5350 
5350 5879 5864 
5353 5881 5415 
5415 5881 5879 
5352 5848 5882 
5352 5882 5353 
5353 5882 5881 
5826 6298 5856 
6298 5826 5861 
5831 5856 6302 
5856 6298 6302 
5839 5831 6307 
5831 6302 6307 
5846 5839 6313 
5839 6307 6313 
5845 5846 6317 
5846 6313 6317 
5848 6319 5882 
6324 5859 5864 
5860 5859 6324 
6325 5861 5860 
6325 5860 6324 
6298 5861 6326 
6325 6326 5861 
5879 6328 5864 
6329 5864 6328 
5864 6329 6324 
5881 6341 5879 
5879 6341 6328 
5882 6319 6342 
5882 6342 5881 
5881 6342 6341 
6302 6298 6713 
6326 6713 6298 
6307 6302 6717 
6302 6713 6717 
6313 6307 6721 
6307 6717 6721 
6317 6313 6727 
6313 6721 6727 
6319 6732 6342 
6325 6737 6326 
6329 6737 6324 
6325 6324 6737 
6713 6326 6738 
6737 6738 6326 
6341 6739 6328 
6742 6328 6739 
6328 6742 6329 
6743 6329 6742 
6743 6737 6329 
6342 6732 6751 
6342 6751 6341 
6341 6751 6739 
6717 6713 7059 
6738 7059 6713 
6721 6717 7062 
6717 7059 7062 
6727 6721 7068 
6721 7062 7068 
6751 7076 6739 
6732 7077 6751 
6751 7077 7076 
6738 6737 7082 
6743 7082 6737 
7059 6738 7085 
7082 7085 6738 
6739 7076 7086 
6739 7086 6742 
7086 7087 6742 
6743 6742 7087 
6743 7087 7082 
7062 7059 7350 
7085 7350 7059 
7068 7062 7355 
7062 7350 7355 
7076 7365 7086 
7077 7366 7076 
7076 7366 7365 
7085 7082 7370 
7370 7082 7087 
7350 7085 7372 
7370 7372 7085 
7373 7086 7365 
7086 7373 7087 
7370 7087 7374 
7374 7087 7373 
7355 7350 7586 
7350 7372 7586 
7365 7597 7373 
7366 7598 7365 
7597 7365 7598 
7372 7370 7600 
7374 7600 7370 
7586 7372 7601 
7600 7601 7372 
7374 7602 7600 
7597 7602 7373 
7374 7373 7602 
7761 7602 7597 
7597 7598 7762 
7761 7597 7762 
7601 7600 7764 
7600 7602 7764 
7764 7602 7766 
7761 7766 7602 
